Time,Stock,Brd,Price,Qty,BT,BC,SC,ST
15:14:59,TLKM,RG,3420,1,D,SQ,YU,D
15:14:39,TLKM,RG,3420,10,D,YB,YU,D
15:14:38,TLKM,RG,3420,14,D,KK,YU,D
15:13:26,TLKM,RG,3420,1,D,YP,YU,D
15:12:36,TLKM,RG,3420,1,D,XC,YU,D
15:12:33,TLKM,RG,3420,1,D,SQ,YU,D
15:12:18,TLKM,RG,3420,9,D,PD,YU,D
15:12:18,TLKM,RG,3420,5,D,YP,YU,D
15:11:43,TLKM,RG,3420,10,D,PD,YU,D
15:10:58,TLKM,RG,3420,6,D,XC,YU,D
15:10:53,TLKM,RG,3420,1500,F,KZ,YU,D
15:10:32,TLKM,RG,3420,1,D,PD,YU,D
15:10:03,TLKM,RG,3420,1,D,XC,YU,D
15:10:01,TLKM,RG,3420,1,D,XC,YU,D
15:09:55,TLKM,RG,3420,1,D,IF,YU,D
15:08:37,TLKM,RG,3420,7,D,CC,YU,D
15:08:30,TLKM,RG,3420,2,D,XC,YU,D
15:08:25,TLKM,RG,3420,1,D,XC,YU,D
15:08:19,TLKM,RG,3420,15,D,CC,YU,D
15:08:18,TLKM,RG,3420,1,D,AT,YU,D
15:08:06,TLKM,RG,3420,11,D,CC,YU,D
15:07:58,TLKM,RG,3420,95,D,AG,YU,D
15:07:19,TLKM,RG,3420,2,D,YB,YU,D
15:07:17,TLKM,RG,3420,10,D,CC,YU,D
15:07:08,TLKM,RG,3420,5,D,XC,YU,D
15:06:44,TLKM,RG,3420,3,D,PD,YU,D
15:06:40,TLKM,RG,3420,1,D,XA,YU,D
15:06:36,TLKM,RG,3420,1,D,YP,YU,D
15:06:33,TLKM,RG,3420,2,D,XC,YU,D
15:06:26,TLKM,RG,3420,1,D,DR,YU,D
15:06:21,TLKM,RG,3420,1,D,XC,YU,D
15:06:04,TLKM,RG,3420,1,D,XC,YU,D
15:05:42,TLKM,RG,3420,1,D,XC,YU,D
15:05:41,TLKM,RG,3420,5,D,CC,YU,D
15:05:38,TLKM,RG,3420,1,D,XC,YU,D
15:05:10,TLKM,RG,3420,100,D,EP,YU,D
15:05:05,TLKM,RG,3420,1,D,AT,YU,D
15:05:02,TLKM,RG,3420,10,D,CC,YU,D
15:05:02,TLKM,RG,3420,10,D,CC,YU,D
15:05:02,TLKM,RG,3420,10,D,YP,YU,D
15:05:02,TLKM,RG,3420,1,D,PD,YU,D
15:05:02,TLKM,RG,3420,3,D,YP,YU,D
15:05:02,TLKM,RG,3420,2,D,SQ,YU,D
15:05:02,TLKM,RG,3420,9,D,YP,YU,D
15:05:02,TLKM,RG,3420,18,D,YP,YU,D
15:05:02,TLKM,RG,3420,1,D,PD,YU,D
15:05:02,TLKM,RG,3420,3,D,YP,YU,D
15:05:02,TLKM,RG,3420,1,D,PD,YU,D
15:05:02,TLKM,RG,3420,15,D,YP,YU,D
15:05:02,TLKM,RG,3420,11,D,YP,YU,D
15:05:02,TLKM,RG,3420,3,D,PD,YU,D
15:05:01,TLKM,RG,3420,1,D,XC,YU,D
15:05:01,TLKM,RG,3420,20,D,CC,YU,D
15:05:01,TLKM,RG,3420,1,D,XC,YU,D
15:05:01,TLKM,RG,3420,1,D,XC,YU,D
15:05:00,TLKM,RG,3420,2,D,AT,YU,D
15:05:00,TLKM,RG,3420,5,D,PD,YU,D
15:05:00,TLKM,RG,3420,36,D,PD,YU,D
15:05:00,TLKM,RG,3420,2,D,GR,YU,D
15:05:00,TLKM,RG,3420,15,D,HP,YU,D
15:00:00,TLKM,RG,3420,1,D,PD,YU,D
15:00:00,TLKM,RG,3420,4,D,AT,YU,D
15:00:00,TLKM,RG,3420,1,D,XC,YU,D
15:00:00,TLKM,RG,3420,1,D,AT,YU,D
15:00:00,TLKM,RG,3420,4,D,CC,YU,D
15:00:00,TLKM,RG,3420,375,D,YU,YU,D
15:00:00,TLKM,RG,3420,4,D,NI,YU,D
15:00:00,TLKM,RG,3420,1,D,PD,YU,D
15:00:00,TLKM,RG,3420,30,D,EP,YU,D
15:00:00,TLKM,RG,3420,1,F,AK,YU,D
15:00:00,TLKM,RG,3420,1,D,EP,YU,D
15:00:00,TLKM,RG,3420,10,D,XC,YU,D
15:00:00,TLKM,RG,3420,17,D,LG,YU,D
