Time,Stock,Brd,Price,Qty,BT,BC,SC,ST
15:12:33,MYOR,RG,2360,1,D,BQ,CC,D
15:11:49,MYOR,RG,2360,1,D,BQ,CC,D
15:10:35,MYOR,RG,2360,4,D,BQ,OD,D
15:09:19,MYOR,RG,2360,2,D,BQ,NI,D
15:09:19,MYOR,RG,2360,81,D,BQ,MG,D
15:06:33,MYOR,RG,2360,69,D,KZ,MG,D
15:06:33,MYOR,RG,2360,6,D,KZ,BQ,D
15:05:37,MYOR,RG,2360,1,D,XC,BQ,D
15:04:56,MYOR,RG,2360,2,D,PD,BQ,D
15:04:56,MYOR,RG,2360,1,D,PD,XC,D
15:04:56,MYOR,RG,2360,2,D,PD,XC,D
15:00:00,MYOR,RG,2360,1,D,BQ,PD,D
15:00:00,MYOR,RG,2360,40,D,BQ,CC,D
15:00:00,MYOR,RG,2360,15,D,BQ,YB,D
15:00:00,MYOR,RG,2360,5,D,BQ,PD,D
15:00:00,MYOR,RG,2360,30,D,BQ,SQ,D
15:00:00,MYOR,RG,2360,30,D,BQ,PC,D
15:00:00,MYOR,RG,2360,70,D,BQ,PC,D
15:00:00,MYOR,RG,2360,5,D,BQ,OD,D
15:00:00,MYOR,RG,2360,14,D,BQ,YB,D
15:00:00,MYOR,RG,2360,40,D,BQ,DX,D
15:00:00,MYOR,RG,2360,29,D,BQ,ZP,F
15:00:00,MYOR,RG,2360,61,D,BQ,AK,F
15:00:00,MYOR,RG,2360,234,D,BQ,CC,F
15:00:00,MYOR,RG,2360,47,D,BQ,BK,F
15:00:00,MYOR,RG,2360,20,D,YU,BK,F
15:00:00,MYOR,RG,2360,19,D,CC,BK,F
15:00:00,MYOR,RG,2360,16,D,CC,AK,F
15:00:00,MYOR,RG,2360,15,D,CC,AK,D
15:00:00,MYOR,RG,2360,200,D,PD,AK,D
15:00:00,MYOR,RG,2360,8,D,YP,AK,D
15:00:00,MYOR,RG,2360,20,D,XC,AK,D
15:00:00,MYOR,RG,2360,1,D,BQ,AK,D
15:00:00,MYOR,RG,2360,100,D,BQ,AK,D
14:49:58,MYOR,RG,2350,1,D,YU,ZP,F
14:49:54,MYOR,RG,2350,2,D,YU,ZP,F
14:49:44,MYOR,RG,2350,3,D,YU,ZP,F
14:49:39,MYOR,RG,2350,12,D,YU,ZP,F
14:49:33,MYOR,RG,2360,18,D,RX,YP,D
14:49:31,MYOR,RG,2350,21,D,YU,AK,F
14:49:24,MYOR,RG,2350,8,D,YU,ZP,F
14:48:36,MYOR,RG,2360,15,D,RX,YP,D
14:48:36,MYOR,RG,2360,1,D,RX,CC,F
14:48:13,MYOR,RG,2360,9,D,XC,CC,F
14:47:40,MYOR,RG,2360,11,D,RX,CC,F
14:47:38,MYOR,RG,2360,7,D,RX,CC,F
14:45:39,MYOR,RG,2350,58,D,YU,LG,D
14:45:38,MYOR,RG,2350,55,D,KZ,LG,D
14:45:38,MYOR,RG,2350,6,D,KZ,ZP,F
14:45:38,MYOR,RG,2350,2,D,KZ,CC,D
14:45:38,MYOR,RG,2350,1,D,KZ,AK,F
14:45:38,MYOR,RG,2350,7,D,KZ,AK,F
14:45:13,MYOR,RG,2350,7,D,KZ,AK,F
14:45:13,MYOR,RG,2350,1,D,KZ,ZP,F
14:45:08,MYOR,RG,2350,13,D,KZ,ZP,F
14:45:08,MYOR,RG,2350,3,D,KZ,GR,D
14:45:03,MYOR,RG,2340,2,F,AK,CC,D
14:44:45,MYOR,RG,2350,60,D,YU,GR,D
14:44:40,MYOR,RG,2340,10,F,AK,PD,D
14:44:26,MYOR,RG,2350,47,D,KZ,AK,F
14:44:26,MYOR,RG,2350,48,D,KZ,AK,F
14:44:26,MYOR,RG,2350,39,D,RX,AK,F
14:44:17,MYOR,RG,2360,4,D,XC,CC,F
14:44:15,MYOR,RG,2360,18,D,RX,CC,F
14:44:15,MYOR,RG,2360,1,D,RX,XC,D
14:43:15,MYOR,RG,2360,1,D,PD,CC,D
14:42:58,MYOR,RG,2350,50,D,KZ,CC,F
14:42:58,MYOR,RG,2350,32,D,KZ,CC,F
14:42:58,MYOR,RG,2350,18,D,YU,CC,F
14:42:58,MYOR,RG,2350,6,D,YU,ZP,F
14:42:58,MYOR,RG,2350,4,D,YU,LG,D
14:42:58,MYOR,RG,2350,166,D,YU,BK,F
14:42:58,MYOR,RG,2350,54,D,YU,CC,F
14:41:49,MYOR,RG,2350,46,D,YU,CC,F
14:41:49,MYOR,RG,2350,100,D,YU,LG,D
14:41:49,MYOR,RG,2350,50,D,YU,CC,F
14:41:49,MYOR,RG,2350,2,D,YU,YP,D
14:41:36,MYOR,RG,2350,2,D,XC,YP,D
14:41:28,MYOR,RG,2350,8,D,YU,YP,D
14:41:24,MYOR,RG,2350,25,D,YU,YP,D
14:41:24,MYOR,RG,2340,2,D,YU,AK,F
14:41:15,MYOR,RG,2350,1,D,YU,YP,D
14:41:15,MYOR,RG,2340,2,D,YU,AK,F
14:41:15,MYOR,RG,2340,6,D,YU,AK,F
14:41:14,MYOR,RG,2340,2,D,YU,AK,F
14:41:10,MYOR,RG,2340,1,D,YU,AK,F
14:41:08,MYOR,RG,2340,5,D,KZ,AK,F
14:41:08,MYOR,RG,2340,11,D,KZ,ZP,F
14:41:08,MYOR,RG,2340,2,D,KZ,ZP,F
14:41:08,MYOR,RG,2340,13,D,KZ,AK,F
14:41:08,MYOR,RG,2340,31,D,KZ,CC,F
14:41:08,MYOR,RG,2340,129,D,KZ,BK,F
14:41:05,MYOR,RG,2340,35,D,YU,BK,F
14:41:05,MYOR,RG,2340,10,D,YU,BK,F
14:41:05,MYOR,RG,2340,4,D,YU,AK,F
14:41:05,MYOR,RG,2340,9,D,YU,AK,F
14:41:05,MYOR,RG,2340,15,D,YU,AK,F
14:41:05,MYOR,RG,2340,1,D,YU,AK,F
14:41:05,MYOR,RG,2340,8,D,YU,ZP,F
14:41:05,MYOR,RG,2340,7,D,YU,ZP,F
14:41:05,MYOR,RG,2340,35,D,YU,YP,D
14:41:05,MYOR,RG,2340,1,D,YU,YP,D
14:41:05,MYOR,RG,2340,20,D,YU,YP,D
14:41:05,MYOR,RG,2340,23,D,YU,YP,D
14:41:05,MYOR,RG,2340,15,D,YU,YP,D
14:41:05,MYOR,RG,2340,30,D,YU,YP,D
14:41:04,MYOR,RG,2340,21,D,YU,YP,D
14:40:18,MYOR,RG,2340,2,F,CS,YP,D
14:40:18,MYOR,RG,2340,2,D,XL,YP,D
14:40:18,MYOR,RG,2340,1,D,LG,YP,D
14:40:18,MYOR,RG,2340,1,D,KK,YP,D
14:40:18,MYOR,RG,2340,1,D,NI,YP,D
14:40:18,MYOR,RG,2340,1,D,XC,YP,D
14:40:18,MYOR,RG,2340,64,D,HP,YP,D
14:40:18,MYOR,RG,2340,1,D,CC,YP,D
14:40:18,MYOR,RG,2340,2,D,PD,YP,D
14:40:18,MYOR,RG,2340,6,D,XL,YP,D
14:40:18,MYOR,RG,2340,5,D,PD,YP,D
14:40:18,MYOR,RG,2340,3,D,AZ,YP,D
14:40:18,MYOR,RG,2340,4,D,XC,YP,D
14:40:18,MYOR,RG,2340,1,D,XL,YP,D
14:40:18,MYOR,RG,2340,1,D,XC,YP,D
14:40:18,MYOR,RG,2340,1,D,XL,YP,D
