Time,Stock,Brd,Price,Qty,BT,BC,SC,ST
15:13:33,UNVR,RG,4890,20,D,HP,SF,D
15:13:22,UNVR,RG,4890,14,D,HP,CC,D
15:12:53,UNVR,RG,4890,8,D,HP,CC,D
15:12:53,UNVR,RG,4890,2,D,NI,CC,D
15:12:53,UNVR,RG,4890,3,D,CC,CC,D
15:12:53,UNVR,RG,4890,6,D,YP,CC,D
15:12:53,UNVR,RG,4890,3,D,KK,CC,D
15:12:53,UNVR,RG,4890,10,D,PD,CC,D
15:12:53,UNVR,RG,4890,8,D,CC,CC,D
15:12:35,UNVR,RG,4890,7,D,CC,GR,D
15:12:35,UNVR,RG,4890,2,D,EP,GR,D
15:12:35,UNVR,RG,4890,2,D,NI,GR,D
15:12:35,UNVR,RG,4890,30,D,EP,GR,D
15:12:35,UNVR,RG,4890,20,D,DR,GR,D
15:12:35,UNVR,RG,4890,39,D,ZP,GR,D
15:12:13,UNVR,RG,4890,132,D,ZP,YP,D
15:11:25,UNVR,RG,4890,2,D,ZP,XL,D
15:11:01,UNVR,RG,4890,2,D,ZP,NI,D
15:10:51,UNVR,RG,4890,56,D,ZP,CC,D
15:10:30,UNVR,RG,4890,18,D,ZP,XC,D
15:08:38,UNVR,RG,4890,20,D,ZP,XC,D
15:08:10,UNVR,RG,4890,5,D,ZP,SQ,D
15:08:04,UNVR,RG,4890,5,D,ZP,YP,D
15:07:21,UNVR,RG,4890,10,D,ZP,YP,D
15:07:11,UNVR,RG,4890,9,D,ZP,SQ,D
15:06:58,UNVR,RG,4890,2,D,ZP,YP,D
15:06:49,UNVR,RG,4890,5,D,ZP,SQ,D
15:06:46,UNVR,RG,4890,200,D,ZP,YU,D
15:06:42,UNVR,RG,4890,23,D,ZP,PD,D
15:06:42,UNVR,RG,4890,2,D,ZP,HP,D
15:06:42,UNVR,RG,4890,84,D,ZP,YP,D
15:06:42,UNVR,RG,4890,1,D,ZP,DH,D
15:06:42,UNVR,RG,4890,156,D,ZP,GR,D
15:06:42,UNVR,RG,4890,1,D,ZP,DH,D
15:06:42,UNVR,RG,4890,4,D,ZP,YP,D
15:06:42,UNVR,RG,4890,20,D,ZP,CC,D
15:06:42,UNVR,RG,4890,60,D,ZP,CC,D
15:06:42,UNVR,RG,4890,20,D,ZP,YP,D
15:06:42,UNVR,RG,4890,1,D,ZP,DH,D
