Time,Stock,Brd,Price,Qty,BT,BC,SC,m
15:00:00,INDF,RG,6375,53,F,CS,AK,F
15:00:00,INDF,RG,6375,136,F,CS,AK,F
15:00:00,INDF,RG,6375,215,F,CS,AK,F
15:00:00,INDF,RG,6375,6,F,CS,DH,D
15:00:00,INDF,RG,6375,330,F,CS,AK,F
15:00:00,INDF,RG,6375,49,F,CS,DR,D
15:00:00,INDF,RG,6375,53,F,CS,DP,D
15:00:00,INDF,RG,6375,671,F,CS,AK,F
15:00:00,INDF,RG,6375,227,F,CS,PD,D
15:00:00,INDF,RG,6375,523,F,CS,PD,D
15:00:00,INDF,RG,6375,48,F,CS,PD,D
15:00:00,INDF,RG,6375,42,F,DP,PD,D
15:00:00,INDF,RG,6375,9,F,AK,PD,D
15:00:00,INDF,RG,6375,236,F,AK,PD,D
15:00:00,INDF,RG,6375,288,F,AK,PD,D
15:00:00,INDF,RG,6375,680,F,AK,PD,D
15:00:00,INDF,RG,6375,8,F,AK,PD,D
15:00:00,INDF,RG,6375,480,F,RX,PD,D
15:00:00,INDF,RG,6375,8,F,RX,YU,D
14:49:58,INDF,RG,6350,1,D,LS,ZP,F
14:49:57,INDF,RG,6350,1,D,LS,ZP,F
14:49:57,INDF,RG,6350,12,D,LS,ZP,F
14:49:57,INDF,RG,6375,16,F,ZP,YP,D
14:49:54,INDF,RG,6350,3,D,LS,ZP,F
14:49:53,INDF,RG,6375,1,D,YP,YP,D
14:49:52,INDF,RG,6375,20,F,ZP,YP,D
14:49:52,INDF,RG,6350,28,D,LS,ZP,F
14:49:52,INDF,RG,6350,3,D,NI,ZP,F
14:49:52,INDF,RG,6350,6,D,KK,ZP,F
14:49:52,INDF,RG,6350,9,F,ZP,ZP,F
14:49:52,INDF,RG,6350,4,F,ZP,ZP,F
14:49:52,INDF,RG,6350,10,D,CC,ZP,F
14:49:52,INDF,RG,6350,1,D,PD,ZP,F
14:49:52,INDF,RG,6350,7,D,YP,ZP,F
14:49:51,INDF,RG,6375,16,F,ZP,YP,D
14:49:50,INDF,RG,6375,4,F,ZP,YP,D
14:49:45,INDF,RG,6375,1,F,AK,YP,D
14:49:45,INDF,RG,6350,43,D,YP,AK,F
14:49:45,INDF,RG,6350,22,F,RX,AK,F
14:49:40,INDF,RG,6350,1,F,RX,ZP,F
14:49:40,INDF,RG,6350,10,D,OD,ZP,F
14:49:40,INDF,RG,6350,2,D,PD,ZP,F
14:49:39,INDF,RG,6375,6,F,CS,YP,D
14:49:39,INDF,RG,6375,17,F,ZP,YP,D
14:49:37,INDF,RG,6375,4,F,RX,YP,D
14:49:37,INDF,RG,6375,22,F,ZP,YP,D
14:49:37,INDF,RG,6375,12,F,CS,YP,D
14:49:36,INDF,RG,6375,4,F,ZP,YP,D
14:49:35,INDF,RG,6375,7,F,RX,YP,D
14:49:30,INDF,RG,6350,3,D,PD,DX,F
14:49:30,INDF,RG,6350,1,D,XC,DX,F
14:49:30,INDF,RG,6350,8,F,CS,DX,F
14:49:28,INDF,RG,6375,9,F,CS,YP,D
14:49:25,INDF,RG,6375,43,F,ZP,YP,D
14:49:25,INDF,RG,6375,5,F,ZP,RX,D
14:49:21,INDF,RG,6375,12,F,ZP,RX,D
14:49:21,INDF,RG,6375,15,F,ZP,AK,F
14:49:21,INDF,RG,6375,1,F,RX,AK,F
14:49:21,INDF,RG,6375,1,F,RX,AT,D
14:49:21,INDF,RG,6375,7,F,RX,ZP,F
14:49:15,INDF,RG,6375,1,F,AK,ZP,F
14:49:13,INDF,RG,6350,1,F,CS,BB,D
14:49:11,INDF,RG,6350,39,F,CS,AK,F
14:49:11,INDF,RG,6375,9,F,RX,AK,F
14:49:09,INDF,RG,6350,4,F,CS,ZP,F
14:49:06,INDF,RG,6375,2,F,CS,AK,F
14:49:06,INDF,RG,6375,4,F,CS,BK,F
14:49:06,INDF,RG,6375,6,F,CS,ZP,F
14:49:01,INDF,RG,6375,78,F,ZP,ZP,F
14:49:00,INDF,RG,6375,11,F,RX,ZP,F
14:49:00,INDF,RG,6350,7,F,CS,BK,F
14:49:00,INDF,RG,6350,116,D,YP,BK,F
14:49:00,INDF,RG,6350,184,D,YP,ZP,F
14:49:00,INDF,RG,6350,1,D,CC,ZP,F
14:49:00,INDF,RG,6350,12,F,ZP,ZP,F
14:49:00,INDF,RG,6375,45,F,ZP,ZP,F
14:49:00,INDF,RG,6375,87,F,ZP,ZP,F
14:49:00,INDF,RG,6375,1,F,AK,ZP,F
14:49:00,INDF,RG,6350,26,F,ZP,AK,F
14:49:00,INDF,RG,6350,1,F,CS,AK,F
14:49:00,INDF,RG,6350,3,D,PD,AK,F
14:49:00,INDF,RG,6350,1,D,NI,AK,F
14:49:00,INDF,RG,6350,2,D,NI,AK,F
14:49:00,INDF,RG,6350,20,D,YP,AK,F
14:49:00,INDF,RG,6350,5,D,AG,AK,F
14:49:00,INDF,RG,6350,24,D,YP,AK,F
14:49:00,INDF,RG,6350,110,D,YP,AK,F
14:48:57,INDF,RG,6350,9,D,YP,BK,F
14:48:56,INDF,RG,6375,17,F,CS,ZP,F
14:48:55,INDF,RG,6350,10,D,YP,BK,F
14:48:50,INDF,RG,6350,9,D,YP,BK,F
14:48:45,INDF,RG,6375,16,F,CS,ZP,F
14:48:42,INDF,RG,6350,10,D,YP,BK,F
14:48:37,INDF,RG,6350,9,D,YP,BK,F
14:48:35,INDF,RG,6375,16,F,CS,ZP,F
14:48:33,INDF,RG,6350,9,D,YP,BK,F
14:48:28,INDF,RG,6350,9,D,YP,BK,F
14:48:25,INDF,RG,6350,8,D,YP,BK,F
14:48:25,INDF,RG,6375,32,F,CS,ZP,F
14:48:22,INDF,RG,6350,9,D,YP,BK,F
14:48:18,INDF,RG,6350,8,D,YP,BK,F
14:48:18,INDF,RG,6350,2,D,NI,BK,F
14:48:18,INDF,RG,6350,1,D,CC,BK,F
14:48:13,INDF,RG,6350,10,D,CC,BK,F
14:48:08,INDF,RG,6350,79,D,CC,ZP,F
14:48:08,INDF,RG,6350,7,F,CS,ZP,F
14:48:08,INDF,RG,6350,3,D,CC,ZP,F
14:48:08,INDF,RG,6350,50,D,CP,ZP,F
14:48:08,INDF,RG,6350,1,D,PD,ZP,F
14:48:08,INDF,RG,6350,5,D,AI,ZP,F
14:48:08,INDF,RG,6350,2,D,YP,ZP,F
14:48:06,INDF,RG,6375,1,D,PC,ZP,F
14:48:04,INDF,RG,6375,20,F,CS,ZP,F
14:47:46,INDF,RG,6375,27,F,ZP,ZP,F
14:47:46,INDF,RG,6375,21,F,ZP,ZP,F
14:47:46,INDF,RG,6375,2,F,ZP,YP,D
14:47:46,INDF,RG,6375,8,F,ZP,DH,D
14:47:45,INDF,RG,6350,3,D,YP,AK,F
14:47:45,INDF,RG,6350,1,D,KK,AK,F
14:47:45,INDF,RG,6350,100,D,YB,AK,F
14:47:45,INDF,RG,6350,39,F,ZP,AK,F
14:47:45,INDF,RG,6350,28,F,ZP,AK,F
14:47:33,INDF,RG,6350,7,F,ZP,ZP,F
14:47:33,INDF,RG,6350,3,F,CS,ZP,F
14:47:33,INDF,RG,6350,14,F,CS,ZP,F
